tweet_id,is_reply,timestamp,source,rating_numerator,rating_denominator,name,dogs_number,retweets,favorites,p1,p1_conf,p1_dog,stage
892420643555336193,0,2017-08-01 16:23:56,iPhone,13.0,10,Phineas,1,8853,39467,Welsh_springer_spaniel,0.465074,True,
892177421306343426,0,2017-08-01 00:17:27,iPhone,13.0,10,Tilly,1,6514,33819,redbone,0.506826,True,
891815181378084864,0,2017-07-31 00:18:03,iPhone,12.0,10,Archie,1,4328,25461,German_shepherd,0.596461,True,
891689557279858688,0,2017-07-30 15:58:51,iPhone,13.0,10,Darla,1,8964,42908,Rhodesian_ridgeback,0.408143,True,
891327558926688256,0,2017-07-29 16:00:24,iPhone,12.0,10,Franklin,1,9774,41048,miniature_pinscher,0.560311,True,
891087950875897856,0,2017-07-29 00:08:17,iPhone,13.0,10,,1,3261,20562,Bernese_mountain_dog,0.651137,True,
890971913173991426,0,2017-07-28 16:27:12,iPhone,13.0,10,Jax,1,2158,12041,box_turtle,0.933012,False,
890729181411237888,0,2017-07-28 00:22:40,iPhone,13.0,10,,1,16716,56848,chow,0.692517,True,
890609185150312448,0,2017-07-27 16:25:51,iPhone,13.0,10,Zoey,1,4429,28226,shopping_cart,0.962465,False,
890240255349198849,0,2017-07-26 15:59:51,iPhone,14.0,10,Cassie,1,7711,32467,miniature_poodle,0.201493,True,doggo
890006608113172480,0,2017-07-26 00:31:25,iPhone,13.0,10,Koda,1,7624,31166,golden_retriever,0.77593,True,
889880896479866881,0,2017-07-25 16:11:53,iPhone,13.0,10,Bruno,1,5156,28268,Gordon_setter,0.503672,True,
889665388333682689,0,2017-07-25 01:55:32,iPhone,13.0,10,,1,8538,38818,Walker_hound,0.260857,True,puppo
889638837579907072,0,2017-07-25 00:10:02,iPhone,12.0,10,Ted,1,4735,27672,pug,0.489814,True,
889531135344209921,0,2017-07-24 17:02:04,iPhone,13.0,10,Stuart,1,2321,15359,bloodhound,0.195217,True,puppo
889278841981685760,0,2017-07-24 00:19:32,iPhone,13.0,10,Oliver,1,5637,25652,Lhasa,0.58233,True,
888917238123831296,0,2017-07-23 00:22:39,iPhone,12.0,10,Jim,1,4709,29611,English_setter,0.298617,True,
888804989199671297,0,2017-07-22 16:56:37,iPhone,13.0,10,Zeke,1,4559,26080,hen,0.965932,False,
888554962724278272,0,2017-07-22 00:23:06,iPhone,13.0,10,Ralphus,1,3732,20290,desktop_computer,0.086502,False,
888078434458587136,0,2017-07-20 16:49:33,iPhone,12.0,10,Gerald,1,3653,22201,Italian_greyhound,0.176053,True,
887705289381826560,0,2017-07-19 16:06:48,iPhone,13.0,10,Jeffrey,1,5609,30779,Maltese_dog,0.8575309999999999,True,
887517139158093824,0,2017-07-19 03:39:09,iPhone,14.0,10,,1,12082,46959,three-toed_sloth,0.914671,False,
887473957103951883,0,2017-07-19 00:47:34,iPhone,13.0,10,Canela,1,18781,69871,ox,0.416669,False,
887343217045368832,0,2017-07-18 16:08:03,iPhone,13.0,10,,1,10737,34222,golden_retriever,0.8587440000000001,True,
887101392804085760,0,2017-07-18 00:07:08,iPhone,12.0,10,,1,6167,31061,malamute,0.33687399999999995,True,
886983233522544640,0,2017-07-17 16:17:36,iPhone,13.0,10,Maya,1,8084,35859,guinea_pig,0.996496,False,
886736880519319552,0,2017-07-16 23:58:41,iPhone,13.0,10,Mingus,1,3443,12306,soft-coated_wheaten_terrier,0.326467,True,
886680336477933568,0,2017-07-16 20:14:00,iPhone,13.0,10,Derek,1,4610,22798,Chihuahua,0.978108,True,
886366144734445568,0,2017-07-15 23:25:31,iPhone,12.0,10,Roscoe,1,3316,21524,black-and-tan_coonhound,0.529139,True,pupper
886267009285017600,1,2017-07-15 16:51:35,iPhone,12.0,10,Tanner,1,4,117,coho,0.40464,False,
886258384151887873,0,2017-07-15 16:17:19,iPhone,13.0,10,Waffles,1,6523,28469,toy_terrier,0.14968,True,
885984800019947520,0,2017-07-14 22:10:11,iPhone,12.0,10,Jimbo,1,7097,33382,Blenheim_spaniel,0.906777,True,
885528943205470208,0,2017-07-13 15:58:47,iPhone,13.0,10,Maisey,1,6683,36689,Pembroke,0.371361,True,
885518971528720385,0,2017-07-13 15:19:09,iPhone,14.0,10,Howard,1,3899,20788,llama,0.505184,False,
885167619883638784,0,2017-07-12 16:03:00,iPhone,13.0,10,Pawbably,1,4556,22367,Chesapeake_Bay_retriever,0.18413,True,
884925521741709313,0,2017-07-12 00:01:00,iPhone,12.0,10,Earl,1,16439,68152,Chihuahua,0.6718529999999999,True,
884876753390489601,0,2017-07-11 20:47:12,iPhone,13.0,10,Lola,1,6096,28514,curly-coated_retriever,0.32208400000000004,True,
884562892145688576,0,2017-07-11 00:00:02,iPhone,13.0,10,Kevin,1,5100,24765,dalmatian,0.278954,True,
884441805382717440,0,2017-07-10 15:58:53,iPhone,14.0,10,,1,5856,27478,Ibizan_hound,0.0443334,True,
884247878851493888,0,2017-07-10 03:08:17,iPhone,13.0,10,,1,21298,74423,Border_collie,0.447803,True,
884162670584377345,0,2017-07-09 21:29:42,iPhone,12.0,10,Yogi,1,3128,20771,German_shepherd,0.975401,True,doggo
883838122936631299,0,2017-07-09 00:00:04,iPhone,12.0,10,Noah,1,3586,22349,Labrador_retriever,0.887707,True,
883482846933004288,0,2017-07-08 00:28:19,iPhone,13.5,10,Bella,1,10407,46860,miniature_poodle,0.546933,True,
883360690899218434,0,2017-07-07 16:22:55,iPhone,13.0,10,Grizzwald,1,3825,22986,seat_belt,0.375057,False,floofer
883117836046086144,0,2017-07-07 00:17:54,iPhone,13.0,10,,1,6949,37914,Italian_greyhound,0.618316,True,
882992080364220416,0,2017-07-06 15:58:11,iPhone,13.0,10,Rusty,1,4122,24445,snail,0.999888,False,
882762694511734784,0,2017-07-06 00:46:41,iPhone,12.0,10,Gus,1,5134,28903,English_setter,0.32879200000000003,True,pupper
882627270321602560,0,2017-07-05 15:48:34,iPhone,13.0,10,Stanley,1,6342,28382,miniature_schnauzer,0.496953,True,
882268110199369728,0,2017-07-04 16:01:23,iPhone,13.0,10,Alfy,1,12118,45880,Maltese_dog,0.359383,True,
882045870035918850,0,2017-07-04 01:18:17,iPhone,13.0,10,Koko,1,5203,29900,Airedale,0.448459,True,
881906580714921986,0,2017-07-03 16:04:48,iPhone,12.0,10,Rey,1,3533,24773,triceratops,0.442113,False,
881666595344535552,0,2017-07-03 00:11:11,iPhone,13.0,10,Gary,1,11099,51522,swab,0.589446,False,
881633300179243008,1,2017-07-02 21:58:53,iPhone,13.0,10,,1,7,129,hay,0.507637,False,
881536004380872706,0,2017-07-02 15:32:16,iPhone,14.0,10,,1,16570,50199,hyena,0.98723,False,pupper
881268444196462592,0,2017-07-01 21:49:04,iPhone,12.0,10,Elliot,1,5358,23501,golden_retriever,0.765266,True,
880935762899988482,0,2017-06-30 23:47:07,iPhone,13.0,10,Louis,1,2886,17346,Chesapeake_Bay_retriever,0.825678,True,
880872448815771648,0,2017-06-30 19:35:32,iPhone,12.0,10,,1,3989,21734,jigsaw_puzzle,0.560001,False,
880465832366813184,0,2017-06-29 16:39:47,iPhone,12.0,10,Bella,1,6546,29075,Chihuahua,0.483682,True,
